Occupation,Total Employed,Percent of total employed_women,Percent of total employed_White,Percent of total employed_Black or African American,Percent of total employed_Asian,Percent of total employed_Hispanic or Latino,Group
General and operations managers,1057,30.5,84.4,7.1,4.5,12.4,Chief executives
Advertising and promotions managers,56,52.1,80.5,14.7,3.9,3.5,Chief executives
Marketing managers,554,60.7,84.1,5.5,7.6,9.9,Chief executives
Sales managers,521,30.9,87.6,5.8,4.2,7.6,Chief executives
Public relations and fundraising managers,95,66.4,91,4.3,2.3,7.6,Chief executives
Administrative services managers,65,71.7,83.4,9.5,6.5,16.9,Chief executives
Facilities managers,134,25,90.1,4.9,2.4,12.6,Chief executives
Computer and information systems managers,744,26.6,75.5,7,15.5,5.2,Chief executives
Financial managers,1309,52.6,79.4,9.7,8.2,9.9,Chief executives
Human resources managers,287,76.8,81,12,4.9,14,Chief executives
Training and development managers,52,55.8,85.4,9.2,0.2,10.1,Chief executives
Industrial production managers,272,22.6,84.3,5.9,7.2,13.5,Chief executives
Purchasing managers,212,45.8,83.2,12.1,3.1,7.3,Chief executives
"Transportation, storage, and distribution managers",300,21.3,79.3,10.7,6.1,17.2,Chief executives
"Farmers, ranchers, and other agricultural managers",901,25.1,96.3,0.7,0.8,4.3,Chief executives
Construction managers,966,8.4,91.4,3.3,2.9,14.5,Chief executives
Education and childcare administrators,948,66.5,79.5,14.3,3.3,12,Chief executives
Architectural and engineering managers,171,9.5,84.2,3.4,9.5,4.7,Chief executives
Food service managers,1092,46.6,77.7,9.8,9.4,19.8,Chief executives
Lodging managers,123,56,74.8,12.4,10.4,11.2,Chief executives
Medical and health services managers,711,70.3,77.6,13.3,5.6,11.5,Chief executives
"Property, real estate, and community association managers",781,48.5,84.7,8.6,3.5,12.9,Chief executives
Social and community service managers,424,72.5,75.9,18.3,2.1,10.3,Chief executives
"Managers, all other",4969,37.5,83.2,8.1,5.9,10.4,"Personal service managers, all other"
Business and financial operations occupations,8578,53.9,78,10.5,8.7,11.2,"Personal service managers, all other"
"Wholesale and retail buyers, except farm products",178,52.7,82.8,9.7,5.8,14.9,"Personal service managers, all other"
"Purchasing agents, except wholesale, retail, and farm products",230,52,81.1,11.9,3.9,11.3,"Personal service managers, all other"
"Claims adjusters, appraisers, examiners, and investigators",350,60.4,71.6,19.8,4.5,15,"Personal service managers, all other"
Compliance officers,305,57.1,75.4,12,7.5,8.6,"Personal service managers, all other"
Cost estimators,121,15,93.7,2.9,2,14.1,"Personal service managers, all other"
Human resources workers,832,74.3,76.9,13,5.8,15.1,"Personal service managers, all other"
"Compensation, benefits, and job analysis specialists",74,76,84.6,11.2,2.2,9.7,"Personal service managers, all other"
Training and development specialists,115,57.1,82.1,13.2,2.7,14.1,"Personal service managers, all other"
Logisticians,147,38.1,82.6,11.8,4.4,20.6,"Personal service managers, all other"
Project management specialists,715,44.4,77.5,12.3,7.9,11.1,"Personal service managers, all other"
Management analysts,997,42.7,77.8,8.4,11.9,9.3,"Personal service managers, all other"
